date,open,high,low,close,volume,top_fractal,bottom_fractal,fractal_price,pen_type,pen_start,pen_end,pen_id,pen_length_kline,pen_price_change,pen_price_ratio,segment_type,segment_start,segment_end,segment_id,segment_length_pen,segment_price_change,segment_price_ratio,central_bank,central_bank_id,central_bank_type,central_bank_high,central_bank_low,central_bank_mid,central_bank_length,central_bank_overlap_ratio,ema12,ema26,macd,macd_signal,macd_hist,tr1,tr2,tr3,tr,atr,divergence,divergence_indicator,divergence_strength,divergence_count,signal,signal_strength,signal_source,signal_level,signal_conditions,fractal_strength,divergence_strength_score,structure_match_score,stop_loss_price,stop_loss_type
2025-07-11,1.111,1.132,1.111,1.128,666042551,True,False,1.132,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1121472948699749,1.0936402345410408,0.018507060328934122,0.017452282447480438,0.0010547778814536841,0.020999999999999908,0.018999999999999906,0.0020000000000000018,0.020999999999999908,0.022642857142857107,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-14,1.128,1.131,1.121,1.123,361225149,False,False,1.111,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1138169418130557,1.0958150319824451,0.018001909830610563,0.01756220792410646,0.0004397019065041016,0.010000000000000009,0.0030000000000001137,0.006999999999999895,0.010000000000000009,0.021642857142857106,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-15,1.121,1.127,1.111,1.119,511833729,False,True,1.111,up,True,False,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.114614335380278,1.0975324370207824,0.017081898359495584,0.017466146011184285,-0.0003842476516887003,0.016000000000000014,0.0040000000000000036,0.01200000000000001,0.016000000000000014,0.020285714285714258,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-16,1.117,1.124,1.113,1.118,435227700,False,False,1.18,up,False,False,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1151352068602352,1.0990485527970209,0.0160866540632143,0.01719024762159029,-0.0011035935583759877,0.01100000000000012,0.0050000000000001155,0.006000000000000005,0.01100000000000012,0.01949999999999998,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-17,1.117,1.146,1.115,1.145,1045204787,False,False,1.18,up,False,False,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.119729790420199,1.1024523637009453,0.017277426719253697,0.017207683441122973,6.97432781307239e-05,0.030999999999999917,0.027999999999999803,0.0030000000000001137,0.030999999999999917,0.020285714285714258,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-18,1.145,1.158,1.142,1.155,792271752,False,False,1.18,up,False,False,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1251559765093992,1.106344781204579,0.018811195304820227,0.017528385813862426,0.0012828094909578015,0.016000000000000014,0.0129999999999999,0.0030000000000001137,0.016000000000000014,0.017928571428571405,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-21,1.156,1.169,1.155,1.168,662552852,False,False,1.18,up,False,False,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1317473647387224,1.1109118344486841,0.020835530290038262,0.018189814709097592,0.0026457155809406704,0.014000000000000012,0.014000000000000012,0.0,0.014000000000000012,0.01757142857142854,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-22,1.168,1.18,1.16,1.168,646500931,True,False,1.18,up,False,True,2,6,0.06899999999999995,0.062106210621062065,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1373246932404573,1.1151405874524853,0.02218410578797192,0.018988672924872458,0.0031954328630994615,0.020000000000000018,0.01200000000000001,0.008000000000000007,0.020000000000000018,0.017071428571428546,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-23,1.164,1.164,1.149,1.153,750347703,False,True,1.149,up,True,False,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1397362788957714,1.1179449883819308,0.021791290513840655,0.019549196442666096,0.0022420940711745593,0.014999999999999902,0.0040000000000000036,0.018999999999999906,0.018999999999999906,0.016928571428571404,bull,macd,1.0,2,buy,0.6,"fractal,divergence",一买,['MACD底背驰'],0.6,1.0,0.0,,recent_low
2025-07-24,1.151,1.175,1.151,1.174,899110772,False,False,1.216,up,False,False,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1450076206041144,1.1220972114647507,0.022910409139363708,0.020221438982005617,0.0026889701573580907,0.02400000000000002,0.02200000000000002,0.0020000000000000018,0.02400000000000002,0.01735714285714285,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
